SNo,Year,All-Star,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23555,2016,0,Matt Barnes,SF,35,MEM,76,45,2190,11.7,0.503,0.534,0.199,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,,0.4,2.2,2.6,0.056,,-0.4,0.8,0.4,1.3,264,693,0.381,119,370,0.322,145,323,0.449,0.467,111,138,0.804,84,336,420,163,78,57,121,234,758
23556,2016,0,Will Barton,SG,25,DEN,82,1,2353,16,0.535,0.331,0.273,2.7,20,11.2,14.4,1.5,1.3,11.2,23,,2.4,1.9,4.3,0.088,,0.3,-0.4,-0.1,1.1,425,983,0.432,112,325,0.345,313,658,0.476,0.489,216,268,0.806,59,417,476,203,71,39,139,147,1178
23557,2016,0,Brandon Bass,PF,30,LAL,66,0,1342,17.4,0.619,0.006,0.467,8.1,15,11.4,9.2,1.2,3.2,9.9,13.9,,3.4,0.7,4.1,0.146,,0.1,0.7,0.8,1,174,317,0.549,0,2,0,174,315,0.552,0.549,125,148,0.845,104,181,285,74,33,55,42,125,473
23558,2016,0,Nicolas Batum,SF,27,CHO,70,70,2448,15.6,0.546,0.457,0.22,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,,2,2.9,5,0.097,,1.1,0.9,2,2.5,372,873,0.426,139,399,0.348,233,474,0.492,0.506,163,192,0.849,55,373,428,403,65,43,205,114,1046
23559,2016,0,Jerryd Bayless,SG,27,MIL,52,18,1505,12.4,0.568,0.529,0.206,1.6,9,5.4,16.2,1.6,0.6,13.3,16.4,,1.8,0.6,2.4,0.075,,1.1,-2.1,-1,0.4,185,437,0.423,101,231,0.437,84,206,0.408,0.539,70,90,0.778,21,120,141,163,47,11,73,111,541
23560,2016,0,Aron Baynes,C,29,DET,81,1,1233,17.8,0.563,0.005,0.43,11.9,22.5,17,6.6,0.9,3.2,12.8,18.5,,2.4,1.7,4.1,0.158,,-1.3,1.1,-0.2,0.6,194,384,0.505,0,2,0,194,382,0.508,0.505,126,165,0.764,140,244,384,51,21,52,67,151,514
23561,2016,0,Kent Bazemore,SF,26,ATL,75,68,2083,13.4,0.551,0.421,0.208,1.5,18,9.9,12.7,2.3,1.4,14.8,20,,0.3,3.8,4.1,0.094,,-1.3,1.6,0.3,1.2,320,725,0.441,109,305,0.357,211,420,0.502,0.517,123,151,0.815,28,351,379,171,98,38,138,176,872
23562,2016,0,Bradley Beal,SG,22,WAS,55,35,1708,15.5,0.547,0.339,0.22,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,,1.4,1.3,2.7,0.076,,1,-1.6,-0.6,0.6,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958
23563,2016,0,Michael Beasley,PF,27,HOU,20,0,363,22.5,0.563,0.044,0.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,,0.6,0.3,1,0.128,,-0.8,-2.5,-3.4,-0.1,107,205,0.522,3,9,0.333,104,196,0.531,0.529,38,49,0.776,29,69,98,16,11,9,24,39,255
23564,2016,0,Marco Belinelli,SG,29,SAC,68,7,1672,9.4,0.5,0.468,0.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,,0.2,0.3,0.5,0.014,,-1.3,-2.9,-4.2,-0.9,245,635,0.386,91,297,0.306,154,338,0.456,0.457,115,138,0.833,10,107,117,127,37,2,80,91,696
23565,2016,0,Anthony Bennett,PF,22,TOR,19,0,84,10.4,0.446,0.519,0.37,8.3,22.8,15.7,0,3.1,0,11.3,19.2,,0,0.1,0.1,0.054,,-4.8,-4.6,-9.4,-0.2,8,27,0.296,3,14,0.214,5,13,0.385,0.352,9,10,0.9,6,17,23,0,5,0,4,8,28
23566,2016,0,Patrick Beverley,PG,27,HOU,71,63,2041,13,0.553,0.522,0.148,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,,3.1,1.3,4.4,0.102,,1.4,-0.3,1.1,1.6,258,594,0.434,124,310,0.4,134,284,0.472,0.539,60,88,0.682,73,177,250,239,94,26,91,234,700
